TO,FROM
"Internet","Firewall"
"Firewall","Router"
"Router","Layer 2 Switches (Ethernet) 1"
"Router","Layer 2 Switches (Ethernet) 2"
"Router","Layer 2 Switches (Ethernet) 4"
"Layer 2 Switches (Ethernet) 2","Layer 2 Switches (Ethernet) 3"
"Layer 2 Switches (Ethernet) 4","Layer 2 Switches (Ethernet) 5"
"Layer 2 Switches (Ethernet) 5","Layer 2 Switches (Ethernet) 6"
"Layer 2 Switches (Ethernet) 1","System Administrator Terminal"
"Layer 2 Switches (Ethernet) 1","Virtualization Manager Server"
"Layer 2 Switches (Ethernet) 1","Virtualization Manager SAN Archive"
"Layer 2 Switches (Ethernet) 1","Cybersecurity Capability & Tools server"
"Layer 2 Switches (Ethernet) 1","Cybersecurity Capability & Tools SAN Archive"
"Layer 2 Switches (Ethernet) 1","Audit Log Server"
"Layer 2 Switches (Ethernet) 1","Audit Log SAN Archive"
"Layer 2 Switches (Ethernet) 2","Engineering Workstation 1"
"Layer 2 Switches (Ethernet) 2","Engineering Workstation 2"
"Layer 2 Switches (Ethernet) 2","Engineering Workstation 3"
"Layer 2 Switches (Ethernet) 2","Production Workstation 1"
"Layer 2 Switches (Ethernet) 2","Production Workstation 2"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #1"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #2"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #3"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #4"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #5"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #6"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #7"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #8"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #9"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #10"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #11"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #12"
"Layer 2 Switches (Ethernet) 3","Engineering & Production SAN 1"
"Layer 2 Switches (Ethernet) 3","Engineering & Production SAN 2"
"Layer 2 Switches (Ethernet) 3","Engineering & Production SAN 3"
"Layer 2 Switches (Ethernet) 3","Test SAN"
"Layer 2 Switches (Ethernet) 3","Company Management SAN"
"Layer 2 Switches (Ethernet) 3","Test Engineering Laptop 1"
"Layer 2 Switches (Ethernet) 3","Test Engineering Laptop 2"
"Layer 2 Switches (Ethernet) 3","Company Management Workstation 1"
"Layer 2 Switches (Ethernet) 3","Company Management Workstation 2"
"Layer 2 Switches (Ethernet) 4","Engineering & Production SAN Archive 1"
"Layer 2 Switches (Ethernet) 4","Engineering & Production SAN Archive 2"
"Layer 2 Switches (Ethernet) 4","Engineering & Production SAN Archive 1 Backup"
"Layer 2 Switches (Ethernet) 4","Engineering & Production SAN Archive 2 Backup"
"Layer 2 Switches (Ethernet) 5","Test SAN Archive"
"Layer 2 Switches (Ethernet) 5","Test SAN Archive Backup"
"Layer 2 Switches (Ethernet) 6","Cybersecurity Capability & Tools SAN Archive Backup"
"Layer 2 Switches (Ethernet) 6","Company Management SAN Archive"
"Layer 2 Switches (Ethernet) 6","Company Management SAN Archive Backup"
