DEVICE,CVE,Score
Firewall,CVE-2023-20269,9.1
Firewall,CVE-2023-20256,5.8
Firewall,CVE-2023-20247,4.3
Firewall,CVE-2023-20200,6.3
Firewall,CVE-2023-20095,8.6
Firewall,CVE-2023-20015,6.7
Firewall,CVE-2023-20934,7.8
Router,CVE-2018-0284,6.5
Router,CVE-2014-7999,7.7
Router,CVE-2014-7993,3.3
Router,CVE-2014-7994,5.4
Router,CVE-2014-7995,7.2
Ethernet,CVE-2016-6473,6.5
Ethernet,CVE-2017-6606,6.4
Ethernet,CVE-2017-3803,4.7
Ethernet,CVE-2016-1425,6.5
Virtualization Manager Server,CVE-2012-2697,4.9
Virtualization Manager Server,CVE-2012-3440,5.6
Virtualization Manager Server,CVE-2010-0727,4.9
Cybersecurity Capability & Tools Server,CVE-2015-7833,4.9
Cybersecurity Capability & Tools Server,CVE-2020-7337,6.7
Cybersecurity Capability & Tools Server,CVE-2009-5118,9.3
Cybersecurity Capability & Tools Server,CVE-2007-2152,7.9
Cybersecurity Capability & Tools Server,CVE-2023-0101,8.8
Cybersecurity Capability & Tools Server,CVE-2021-20135,6.7
Cybersecurity Capability & Tools Server,CVE-2020-5765,5.4
Cybersecurity Capability & Tools Server,CVE-2024-23675,6.5
Cybersecurity Capability & Tools Server,CVE-2024-23676,3.5
Cybersecurity Capability & Tools Server,CVE-2023-40593,7.5
Cybersecurity Capability & Tools Server,CVE-2023-40592,6.1
Audit Log Server,CVE-2015-7833,4.9
Virtualization Manager SAN,CVE-2013-1935,5.7
Virtualization Manager SAN,CVE-2013-2224,6.9
Virtualization Manager SAN,CVE-2013-2188,4.7
Cybersecurity Capability & Tools SAN,CVE-2015-7833,4.9
Cybersecurity Capability & Tools SAN Archive,CVE-2015-7833,4.9
Audit Log SAN Archive,CVE-2015-7833,4.9
Layer 2 Switches (Ethernet) 1,CVE-2016-6473,6.5
Layer 2 Switches (Ethernet) 1,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 1,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 1,CVE-2016-1425,6.5
Layer 2 Switches (Ethernet) 2,CVE-2016-6473,6.5
Layer 2 Switches (Ethernet) 2,CVE-2017-6606,6.4
Layer 2 Switches (Ethernet) 2,CVE-2017-3803,4.7
Layer 2 Switches (Ethernet) 2,CVE-2016-1425,6.5
Layer 2 Switches (Ethernet) 3,CVE-2016-6473,6.5
