TO,FROM
"Internet","Firewall"
"Firewall","Router"
"Router","Layer 2 Switches (Ethernet) 1"
"Router","Layer 2 Switches (Ethernet) 2"
"Layer 2 Switches (Ethernet) 2","Layer 2 Switches (Ethernet) 3"
"Layer 2 Switches (Ethernet) 3","WAC510 Wireless Access Point"
"WAC510 Wireless Access Point","Quality Assurance (Laptop 1)"
"WAC510 Wireless Access Point","Quality Assurance (Laptop 2)"
"WAC510 Wireless Access Point","August Smart Lock Pro"
"Layer 2 Switches (Ethernet) 1","System Administrator Terminal"
"Layer 2 Switches (Ethernet) 1","Virtulalization Manager Server"
"Layer 2 Switches (Ethernet) 1","Virtulalization Manager SAN Archive"
"Layer 2 Switches (Ethernet) 1","Cybersecurity Capability & Tools server"
"Layer 2 Switches (Ethernet) 1","Audit Log Server"
"Layer 2 Switches (Ethernet) 2","Software Development (Workstation 1)"
"Layer 2 Switches (Ethernet) 2","Software Development (Workstation 2)"
"Layer 2 Switches (Ethernet) 2","Software Development (Workstation 3)"
"Layer 2 Switches (Ethernet) 2","Software Development (Workstation 4)"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #1"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #2"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #3"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #4"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #5"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #6"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #7"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #8"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #9"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #10"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #11"
"Layer 2 Switches (Ethernet) 2","Server Rack, Server #12"
"Layer 2 Switches (Ethernet) 3","Software Development SAN 1"
"Layer 2 Switches (Ethernet) 3","Quality Assurance SAN"
"Layer 2 Switches (Ethernet) 3","Company Management SAN"
"Layer 2 Switches (Ethernet) 3","Company Management (Workstation 5)"
"Layer 2 Switches (Ethernet) 3","Company Management (Workstation 6)"
